end_time,duration_hours,rainfall_in_mm
2022-11-05 08:30:00,24,1.5
2022-11-06 08:30:00,24,16.8
2022-11-07 08:30:00,24,1.9
2022-11-08 08:30:00,24,26.7
2022-11-09 08:30:00,24,47.6
2022-11-10 08:30:00,24,0.0
2022-11-11 08:30:00,24,0.0
2022-11-12 08:30:00,24,0.5
2022-11-15 08:30:00,24,108.9
2022-11-17 08:30:00,24,0.0
2022-12-03 08:30:00,24,8.5
2022-12-05 08:30:00,24,103.5
2022-12-06 08:30:00,24,0.2
2022-12-07 08:30:00,24,0.0
2022-12-18 08:30:00,24,0.0
2022-12-21 08:30:00,24,0.0
2022-12-26 08:30:00,24,55.2
2023-01-31 08:30:00,24,0.0
2023-02-01 08:30:00,24,0.0
2023-02-02 15:00:00,6,0.2
2023-02-03 15:00:00,6,0.0
2023-02-04 08:30:00,24,0.5
2023-03-02 08:30:00,24,0.0
2023-04-29 08:30:00,24,50.7
2023-04-30 08:30:00,24,19.1
2023-05-02 08:30:00,24,11.1
2023-05-04 08:30:00,24,7.1
2023-05-05 08:30:00,24,13.5
2023-05-06 08:30:00,24,1.0
2023-05-07 08:30:00,24,18.4
2023-05-10 08:30:00,24,36.5
2023-05-12 08:30:00,24,138.6
2023-05-13 08:30:00,24,14.3
2023-05-14 08:30:00,24,3.4
2023-05-14 12:00:00,3,3.3
2023-05-15 08:30:00,24,4.5
2023-05-16 08:30:00,24,0.0
2023-05-17 08:30:00,24,0.0
2023-05-18 08:30:00,24,0.0
2023-05-20 08:30:00,24,7.0
2023-05-21 08:30:00,24,2.3
2023-05-22 08:30:00,24,2.1
2023-05-29 08:30:00,24,0.0
2023-05-30 08:30:00,24,0.0
2023-05-31 08:30:00,24,0.0
2023-06-02 08:30:00,24,16.2
2023-06-03 08:30:00,24,2.3
2023-06-04 08:30:00,24,3.9
2023-06-05 08:30:00,24,2.0
2023-06-06 08:30:00,24,42.8
2023-06-07 08:30:00,24,0.7
2023-06-08 08:30:00,24,8.8
2023-06-09 08:30:00,24,4.0
2023-06-13 08:30:00,24,35.0
2023-06-14 08:30:00,24,0.5
2023-06-16 08:30:00,24,0.0
2023-06-17 08:30:00,24,1.7
2023-06-19 08:30:00,24,1.2
2023-06-30 08:30:00,24,20.6
2023-07-03 08:30:00,24,29.3
2023-07-04 08:30:00,24,1.5
2023-07-05 08:30:00,24,16.3
2023-07-07 08:30:00,24,0.0
2023-07-17 08:30:00,24,0.0
2023-08-14 08:30:00,24,0.5
2023-08-27 08:30:00,24,57.0
2023-08-31 08:30:00,24,22.5
2023-09-01 08:30:00,24,78.8
2023-09-02 08:30:00,24,21.0
2023-09-03 08:30:00,24,49.6
2023-09-04 08:30:00,24,43.4
2023-09-05 08:30:00,24,25.1
2023-09-06 08:30:00,24,13.7
2023-09-07 08:30:00,24,41.0
2023-09-08 08:30:00,24,58.0
2023-09-09 08:30:00,24,0.5
2023-09-10 08:30:00,24,0.0
2023-09-11 08:30:00,24,23.7
2023-09-12 08:30:00,24,31.3
2023-09-13 08:30:00,24,6.2
2023-09-14 08:30:00,24,17.6
2023-09-15 08:30:00,24,30.5
2023-09-16 08:30:00,24,0.0
2023-09-17 08:30:00,24,0.0
2023-09-18 08:30:00,24,11.8
2023-09-19 08:30:00,24,4.0
2023-09-20 08:30:00,24,65.0
2023-09-21 08:30:00,24,0.0
2023-09-22 08:30:00,24,11.3
2023-09-23 08:30:00,24,66.6
2023-09-27 08:30:00,24,65.3
2023-09-27 18:00:00,9,40.0
2023-09-27 21:00:00,12,40.0
2023-09-28 00:00:00,15,40.6
2023-09-28 03:00:00,18,42.5
2023-09-28 06:00:00,21,54.3
2023-09-28 08:30:00,24,60.9
2023-09-28 12:00:00,3,15.7
2023-09-28 15:00:00,6,15.7
2023-09-28 18:00:00,9,15.7
2023-09-28 21:00:00,12,15.9
2023-09-29 00:00:00,15,15.9
2023-09-29 03:00:00,18,24.1
2023-09-29 06:00:00,21,49.9
2023-09-29 08:30:00,24,50.4
2023-09-29 12:00:00,3,9.7
2023-09-29 21:00:00,12,30.8
2023-09-30 00:00:00,15,40.9
2023-09-30 03:00:00,18,48.9
2023-09-30 06:00:00,21,49.4
2023-09-30 08:30:00,24,49.4
2023-09-30 12:00:00,3,0.0
2023-09-30 15:00:00,6,0.0
2023-09-30 18:00:00,9,0.0
